suppcode,partnumber,partname,stdpack,kategori,lokasi,stdpack_supp,input_user,input_date,imincl
"10733","A1A-0202-00","CHASSIS","999999","","CM1-154","80","","2022-10-14","1 "
"10703","A2B-0211-01-TS","DRESSING PLATE","999999","","","999999","Administrator","2020-09-09","1 "
"11855","A2C-0116-12","SUB PANEL ASSY","999999","","KIT","60","","2023-02-01","  "
"11855","A2C-0117-03-TS","SUB PANEL ASSY","999999","","KIT","60","","2023-06-15","1 "
"12607","A4A-0063-00   6","BOTTOM PLATE","40","","FP2-162","40","","2024-11-29","1 "
"12607","A4G-0081-00   6","REAR COVER","100","","IE2-178","900","","2023-12-27","1 "
"10733","A4G-0132-01","REAR COVER ASSY","50","","KIT","50","","2024-03-18","  "
"11855","A6C-0044-0K","PANEL","20","","FB-CM-092","40","marketingtechno","2020-03-05","1 "
"10733","A8A-0008-0K","REAR PANEL     ","240","",">M-42     ","240","ManualProcedure","2016-06-03","1 "
"10733","A8A-0008-0T","REAR PANEL     ","999999","","","216","ManualProcedure","2016-06-03","1 "
"10733","A8A-0024-05","REAR PANEL     ","240","","PB-Q-080","120","pthtp","2017-01-03","1 "
"10733","A8A-0028-0M-TS","REAR PANEL","999999","","","999999","Administrator","2018-08-08","  "
"10733","A8A-0030-02","REAR PANEL     ","48","","FB-B-38","48","ManualProcedure","2016-06-03","1 "
"10733","A8A-0034-0C","REAR PANEL","999999","",">Q-47","152","pthtp","2016-10-26","1 "
"10733","A8A-0035-01","REAR PANEL","152","","PB-Q-039","152","pthtp","2016-10-05","1 "
"10733","A8A-0048-0L","REAR PANEL","40","","FB-B-200","100","pthtp","2017-12-22","1 "
"10733","A8A-0057-1A-TS","REAR PANEL","999999","","","999999","Administrator","2019-05-01","1 "
"10733","A8A-0063-0A","REAR PANEL","240","","PB-Q-134","240","pthtp","2018-12-15","  "
"10733","A8A-0073-01","REAR PANEL","100","","DM1-109","100","pthtp","2020-02-28","1 "
"10703","B11-2078-14","REFLECTION SHEE","999999","","*L-201    ","10000","chiyoda","2018-01-13","1 "
"10703","B1B-0113-10","REF.SHEET","100","","JS1-006","99999","chiyoda","2019-01-08","1 "
"10620","B1B-0186-00","OPTI.DIFFUSER","200","","FS2-005","1000","flexi2009","2020-02-21","1 "
"10620","B1B-0213-00-TS","REF SHEET","999999","","","1000","flexi2009","2020-02-24","  "
"10620","B4A-0031-10","NAME PLATE     ","999999","","","1000","flexi2009","2016-08-02","  "
"10620","B4A-0481-00","NAME PLATE     ","999999","","","1000","flexi2009","2020-02-24","1 "
"10620","B4A-1427-00","STICKER","999999","","FS2-052","1000","flexi2009","2020-02-24","1 "
"10698","B4G-0045-08","WARRANTY CARD","999999","","PRINT","500","ptcps01","2020-02-24","1 "
"10698","B4G-0122-00","WARRANTY CARD","40","","PR-PRINT","500","ptcps01","2018-07-05","1 "
"10775","B4K-0147-01","LABEL","1000","","JS1-137","999999","Administrator","2018-06-04","1 "
"10698","B5A-0107-00","INST.MANUAL    ","40","","X-009     ","40","ManualProcedure","2016-06-03","1 "
"10698","B5A-0119-00","INST.MANUAL    ","40","","X-138     ","40","ManualProcedure","2016-06-03","1 "
"10698","B5A-0147-00","INST.MANUAL    ","40","","XK-109 ","40","ManualProcedure","2016-06-03","1 "
"10775","B5A-0230-10","INST.MANUAL    ","40","","WK-051  ","40","ManualProcedure","2016-06-03","1 "
"10775","B5A-0347-10","I.MANUAL ASSY  ","40","","FB-R2-142","40","ManualProcedure","2016-06-03","1 "
"10775","B5A-0859-04","INST.MANUAL    ","40","","C2-WM-53","40","ManualProcedure","2016-06-03","1 "
"10698","B5A-0860-02","INST.MANUAL    ","40","","XM-251    ","40","ManualProcedure","2016-06-03","1 "
"10698","B5A-0884-01","INST.MANUAL    ","40","","FB-R1-067","40","ManualProcedure","2016-06-03","1 "
"10775","B5A-0912-00","INST.MANUAL    ","40","","W-153     ","40","ManualProcedure","2016-06-03","1 "
"10775","B5A-1047-01","INST.MANUAL    ","40","","C2-WM-96","40","pdmbl-si","2016-06-10","1 "
"10775","B5A-1053-02","INST.MANUAL    ","40","","WM-222","40","pdmbl-si","2016-06-09","1 "
"10775","B5A-1062-01","INST.MANUAL    ","40","","WM-067   ","40","ManualProcedure","2016-06-03","1 "
"10775","B5A-1063-06","INST.MANUAL    ","40","","WM-087","40","ManualProcedure","2016-06-03","1 "
"10775","B5A-1064-06","INST.MANUAL    ","40","","WM-167    ","40","ManualProcedure","2016-06-03","1 "
"10698","B5A-1141-01","INST.MANUAL    ","40","","FB-E1-076","40","ManualProcedure","2016-06-03","1 "
"10698","B5A-1183-00","I.MANUAL ASSY  ","500","","FB-R1-052","500","ManualProcedure","2016-06-03","1 "
"10775","B5A-1329-00","INST.MANUAL","40","","WK-001","40","pdmbl-si","2016-08-24","1 "
"10775","B5A-1342-00","INST.MANUAL","40","","WK-261","40","pdmbl-si","2016-09-13","1 "
"10775","B5A-1368-10","INST.MANUAL","40","","C2-WK-125","40","pdmbl-si","2016-12-15","1 "
"10698","B5A-1369-10","INST.MANUAL","40","","C2-XK-140","40","ptcps01","2017-03-04","1 "
"10775","B5A-1566-00","INST.MANUAL","40","","WM-015","40","pdmbl-si","2016-10-12","1 "
"10698","B5A-1567-02","INST.MANUAL","40","","XM-023","40","ptcps01","2016-10-05","1 "
"10698","B5A-1596-07","INST.MANUAL","40","","XM-146","40","ptcps01","2016-10-28","1 "
"10775","B5A-1597-14","INST.MANUAL","40","","WM-105","40","pdmbl-si","2017-01-24","1 "
"10775","B5A-1732-01","INST.MANUAL","40","","FB-WM-141","40","pdmbl-si","2017-02-02","1 "
"10698","B5A-1735-00","INST.MANUAL","40","","FB-XM-217","40","ptcps01","2017-02-10","1 "
"10698","B5A-1736-00","INST.MANUAL","40","","XK-113","40","ptcps01","2016-09-14","1 "
"10698","B5A-2062-00","INST.MANUAL","40","","FB-XM-239","40","ptcps01","2017-06-02","1 "
"10775","B5A-2142-02","INST.MANUAL","40","","C2-WM-170","40","pdmbl-si","2017-06-03","1 "
"10698","B5A-2147-04","INST.MANUAL","40","","FB-E1-136","40","ptcps01","2018-02-08","1 "
"10775","B5A-2150-00","INST.MANUAL","40","","FB-WM-185","40","pdmbl-si","2017-09-12","1 "
"10698","B5A-2154-00","INST.MANUAL","40","","XM-314","40","ptcps01","2017-11-28","1 "
"10775","B5A-2213-00","INST.MANUAL","40","","FB-E2-071","40","pdmbl-si","2017-07-14","1 "
"10698","B5A-2300-11","INST.MANUAL","40","","FB-E1-094","40","ptcps01","2019-06-13","1 "
"10775","B5A-2606-10","INST.MANUAL","40","","FB-E2-001","40","pdmbl-si","2018-10-31","1 "
"11786","B5A-2607-00","INST.MANUAL","40","","FB-E2-020","40","cinmkt01","2018-07-27","1 "
"10775","B5A-2611-07","INST.MANUAL","999999","","","40","pdmbl-si","2018-10-31","  "
"10698","B5A-2614-06","INST.MANUAL","40","","FB-E1-065","40","ptcps01","2018-07-25","1 "
"11786","B5A-2617-02","INST.MANUAL","40","","FB-E2-117","40","cinmkt01","2019-06-11","1 "
"10698","B5A-2972-04","INST.MANUAL","40","","FB-XM-444","40","ptcps01","2018-10-13","1 "
"10698","B5A-2972-23","INST.MANUAL","40","","FB-E1-268","40","","2021-12-10","1 "
"10775","B5A-3628-00","INST.MANUAL","200","","FB-R2-231","200","","2021-03-20","1 "
"10775","B5A-3854-00","INST.MANUAL","999999","","BP1-069","40","","2022-05-14","1 "
"12607","A1A-0198-01","CHASS.CALK.ASSY","16","","GM1-014","16","","2023-12-27","1 "
"11855","A2C-0067-03","SUB PANEL","20","","FP1-063","160","marketingtechno","2018-08-15","1 "
"11855","A2C-0099-03","SUB PANEL","20","","HE1-077","40","marketingtechno","2020-08-27","1 "
"12607","A4G-0119-02","REAR COVER ASSY","20","","DM2-073","72","","2023-12-27","1 "
"11855","A6C-0044-0F","PANEL","20","","FB-CM-125","40","marketingtechno","2019-04-30","1 "
"12607","A6C-0138-01","PANEL ASSY","10","","DM2-064","10","","2023-12-27","  "
"10733","A8A-0024-0N-TS","REAR PANEL","999999","","","999999","Administrator","2018-05-03","  "
"10733","A8A-0028-0R-TS","REAR PANEL","50","","","999999","Administrator","2018-07-25","  "
"10733","A8A-0029-01","REAR PANEL     ","999999","","B-122     ","100","ManualProcedure","2016-06-03","1 "
"10733","A8A-0034-03","REAR PANEL     ","210","","P1-114","210","pthtp","2017-03-14","1 "
"10733","A8A-0034-06","REAR PANEL","999999","",">Q-46","210","pthtp","2017-03-14","1 "
"10733","A8A-0042-0E","REAR PANEL","240","","PB-M-025","240","pthtp","2016-07-14","1 "
"10733","A8A-0042-0V","REAR PANEL","216","","PB-Q-057","240","pthtp","2018-05-26","1 "
"10733","A8A-0043-01","REAR PANEL","999999","","","240","pthtp","2016-10-04","1 "
"10733","A8A-0044-00-TS","REAR PANEL","999999","","","999999","Administrator","2016-06-06","  "
"10733","A8A-0057-08","REAR PANEL","264","","PB-Q-035","264","pthtp","2018-01-02","1 "
"10733","A8A-0057-1B-TS","REAR PANEL","999999","","","999999","Administrator","2019-03-27","1 "
"10733","A8A-0069-00-TS","REAR PANEL","999999","","","999999","Administrator","2017-12-18","  "
"12607","B0H-0048-00   6","ESCUTCHEON","480","","FP2-141","480","","2023-12-27","  "
"10703","B11-2079-04","REFLECTION SHEE","999999","","*L-154    ","10000","chiyoda","2018-01-13","  "
"10703","B1A-0099-10","FRONT GLASS","20","","EP1-202","999999","jein","2018-09-01","  "
"10703","B1B-0113-00-TS","REF.SHEET","999999","","","999999","Administrator","2016-12-05","  "
"11855","B1K-0049-00","LIGHTING BOARD ","100","","JS4-010","2000","marketingtechno","2017-01-23","1 "
"11855","B1K-0071-04","LIGHTING BOARD","100","","JS4-008","999999","Administrator","2022-12-15","1 "
"11855","B1K-0149-01","LIGHTING BOARD","999999","","","999999","Administrator","2019-11-20","  "
"11855","B2A-0001-00","FRONT GLASS    ","999999","","*T-       ","800","marketingtechno","2018-03-14","  "
"10775","B46-0844-00","WARRANTY CARD  ","40","","Y-44      ","40","ManualProcedure","2016-06-03","1 "
"10620","B4A-0066-00","STICKER        ","1000","","          ","1000","ManualProcedure","2016-06-03","  "
"10620","B4A-0136-00","NAME PLATE     ","999999","","","1000","flexi2009","2020-02-24","1 "
"10620","B4A-1677-00","STICKER","999999","","JS1-300","1000","","2024-07-10","1 "
"10698","B5A-0107-02","INST.MANUAL    ","40","","X-004     ","40","ManualProcedure","2016-06-03","1 "
"10698","B5A-0107-13","INST.MANUAL    ","40","","X-158     ","40","ManualProcedure","2016-06-03","  "
"11786","B5A-0120-04","INST.MANUAL    ","40","","V-23      ","40","cinmkt01","2018-07-27","1 "
"11786","B5A-0146-00","INST.MANUAL    ","40","","FB-R2-046","40","cinmkt01","2017-04-06","1 "
"10698","B5A-0194-00","INST.MANUAL    ","40","","Y-83      ","40","ManualProcedure","2016-06-03","1 "
"10775","B5A-0377-02","INST.MANUAL    ","40","","WM-061","40","ManualProcedure","2016-06-03","1 "
"10775","B5A-0859-05","INST.MANUAL    ","40","","FB-WM-31","40","ManualProcedure","2016-06-03","1 "
"10698","B5A-1050-02","INST.MANUAL    ","40","","X-348     ","40","ManualProcedure","2016-06-03","  "
"10698","B5A-1059-07","INST.MANUAL    ","40","","XM-155","40","ptcps01","2016-12-30","1 "
"10775","B5A-1064-00","INST.MANUAL    ","40","","WM-161 ","40","ManualProcedure","2016-06-03","1 "
"10775","B5A-1339-01","INST.MANUAL","40","","FB-WK-127","40","pdmbl-si","2017-01-09","1 "
"10698","B5A-1362-01","INST.MANUAL","40","","XM-011","40","ptcps01","2016-06-17","1 "
"10698","B5A-1596-01","INST.MANUAL","40","","XM-051","40","ptcps01","2016-10-06","1 "
